input,best_output,score
第一部神话小说是,吴承恩。西游记的作者是吴承恩,0.67578125
《陆小凤》系列的作者是：,古龙。《流星·蝴蝶·剑》，为古龙中期名作，1971年8月春秋出版。,0.7578125
李白是一个大诗人，请问他的祖籍是哪里？,李白。李白“诗仙”一称的来历凡谈古诗，必称李白,0.7265625
被称为“枫叶之国”，在国旗中央有一枚巨大枫叶的国家是：,加拿大。加拿大加拿大枫林遍布，每到深秋枫树叶红如晚霞，仿佛夏日里怒放的花朵，因此加拿大被人们称之为“枫叶之国”,0.74609375
世界上最早种植棉花的国家是哪个？,英国。英国是世界上最早开始工业化和城市化的国家,0.70703125
元朝开国皇帝是？,康熙。历史执政最久的皇帝是康熙皇帝,0.78515625
封腾用的什么车,王岳伦。李湘现在的老公是著名导演王岳伦,0.66015625
资治通鉴的作者是谁？,编年体。《资治通鉴》是编年体，以时间为主线,0.76953125
中国在奥运会游泳比赛上获得的首枚金牌是由谁夺得的?,许海峰。中国第一个获得奥运会金牌的运动员是许海峰,0.8125
"我们常用""卡""来计算食物的热量,请问""卡""是哪个能量单位的缩写?",卡路里。卡路里就是热量的计算单位，1卡就是我们所吃的食物燃烧之后，使1克的水温度上升摄氏1度时的所需的热量，千卡就是使1公升的水温度上升摄氏1度所需的热量，千卡又叫做大卡,0.73828125
"电影《河东狮吼2》中,主人公王月英的饰演者是哪个女演员?",张静初。脱轨时代的女主角是张静初所饰演的许可望采纳,0.7890625
我们家用的调味品酱油一般分为老抽和什么?,生抽。我做菜用酱油就为上色，老抽性价比高酿造酱油的分类是与配制酱油相对应的，而老抽、生抽是传统酱油的一种分类法，生抽指发酵酱油未经添加焦糖色，具有发酵原油本身淡淡颜色...,0.734375
位于俄罗斯的太平洋沿岸著名海港城市符拉迪沃斯托克又名什么?,俄罗斯。海参崴是天然的不冻港，也是俄罗斯太平洋沿岸最大的港口城市。,0.83984375
"带领本国人民抵抗英军入侵的""圣女贞德""是哪个欧洲国家的女英雄?","英法。太多了.哪里发生战争那里就要死人.很著名的英法之间的百年战争,战争持续一百年,里面最著名的传奇人物是少女贞德,英法是欧洲的大国,当然战争自然就少不了他们.之后很著名的就是法兰西帝国时期的拿破仑时代,拿破仑时军事天才,挫败了六次...",0.71484375
"民间传统中脚踏""风火轮""、手持""混天绫"",杀死龙王三太子的是谁?",哮天犬。哮天犬，中国神话传说中二郎神身边神兽，辅助他斩妖除魔，在西游记跟孙悟空（齐天大圣）对战过，在封神英雄榜及其他有关二郎神的传说如宝莲灯等中亦有出现。,0.78515625
震惊世界的曾侯乙编钟是用哪种金属铸成的?,紫铜。制作景泰蓝先要用紫铜制胎...,0.68359375
李湘老公现任是谁,王岳伦。李湘现在的老公是著名导演王岳伦,0.8125
江南三大名楼指的是湖南的岳阳楼、江西的滕王阁和湖北的哪个楼?,湖北。黄鹤楼位于湖北省武汉市蛇山的黄鹤矶头，面对鹦鹉洲，与湖南岳阳楼、江西滕王阁、山东蓬莱阁合称中国四大名楼,0.83984375
《白眉大侠》是由哪位著名评书表演艺术大师创作的评书作品?,高玉宝。“周扒皮”是“著名作家”高玉宝老先生笔下的恶霸地主（出自《半夜鸡叫》），有名的反派男主角。,0.73046875
中国第一部纪传体断代史《汉书》是哪位史学家编撰的?,班固。《汉书》是我国第一部纪传体断代史，作者是东汉文学家、史学家班固。,0.9140625
用最高礼节接待外宾放多少响礼炮？,21。凡欢迎外国元首，鸣礼炮21响，欢迎外国政府首脑，则鸣放19响...,0.83203125
彩虹中哪种颜色的温度最高？,三。热传递有三种方式：传导、对流和辐射,0.64453125
"我国云南省的简称是""云""或什么?",苏。江苏省简称为“苏”,0.76171875
电影《刮痧》的女主角是由谁出演的：,张静初。脱轨时代的女主角是张静初所饰演的许可望采纳,0.78515625
我国的国家根本政治制度是什么?,人民代表大会制度。我国政治制度的特定用语，指我国的人民代表大会制度。,0.80859375
又称《鬼狐传》的是我国清朝哪部著名的志怪短篇小说集?,聊斋志异。作品简介《聊斋志异》，简称《聊斋》，俗名《鬼狐传》，是中国清代著名小说家蒲松龄的著作。,0.84375
瓦特是表示什么的物理单位?,功率。为纪念瓦特的贡献，国际单位制中的功率单位以瓦特命名。,0.77734375
"原名盛京宫阙,后称奉天行宫的是位于沈阳的哪座宫殿?",沈阳故宫。沈阳故宫，原名盛京宫阙，后称奉天行宫。,0.89453125
"田径比赛中,田赛以高度和距离长度计算比赛成绩,那么径赛以什么计算成绩?",时间。以时间计算成绩的项目叫径赛，以高度或远度计算成绩的项目叫田赛。,0.875
最早的直升机在哪个国家制造成功？,莱特兄弟。世界上公认的第一架实用飞机的发明者是美国的什么人？莱特兄弟,0.73046875
国画《送子天王图》是谁的作品？,吴道子。吴道子的作品《送子天王图》此图描绘了了佛教始祖释迦牟尼降生以后，起伏净饭王和摩耶夫人抱着他到天神庙礼拜诸神的故事,0.703125
最早的“座右铭”写后是放在座位的哪一边？,右边。中外名人的座右铭“座右铭”，本指古人写出来放在座位右边的格言，后泛指人们激励、警戒自己，作为行动指南的格言,0.76171875
故宫的“正大光明”匾额由（）书写。,顺治皇帝。养心殿中的“中正仁和”匾是雍正所书乾清宫中的“正大光明”，由顺治皇帝御笔亲题其他的：紫禁城的中心太和殿正中的“建极绥猷”匾，为乾隆御笔,0.7734375
《三国演义》中的“凤雏”是,罗贯中。三国演义罗贯中，水浒传施耐庵,0.7265625
诸葛亮的〈出师表〉是写给谁的？,刘禅。《出师表》是三国时期蜀汉丞相诸葛亮在北伐中原之前给后主刘禅上书的表文，阐述了北伐的必要性以及对后主刘禅治国寄予的期望，言辞恳切，写出了诸葛亮的一片忠诚之心,0.7109375
杨威是什么运动冠军？,射击运动员。人简介许海峰，我国著名的射击运动员,0.7890625
大货车多少年报废,10年。2、旅游客车报废年限为10年，可以延缓报废，最高不超过10年3、营运（非出租）客车报废年限为10年，可以延缓报废，最高不超过5年4、轻货、大货车报废年限为10年，可以延缓报废，最高不超过5年,0.6484375
歌曲“咱们工人有力量”的曲作者是：,马可。《咱们工人有力量》劳动人民翻身做了主人，成了国家的主人，现在每到五一劳动节必唱的歌曲《咱们工人有力量》，就是由马可创作词曲的，其激昂的旋律和有力的节奏使人唱起这首歌浑身就有使不完的力气,0.76171875
复活的作者是谁,吴承恩。西游记的作者是吴承恩,0.7109375
世界上第一辆火车是谁发明的;,莱特兄弟。世界上公认的第一架实用飞机的发明者是美国的什么人？莱特兄弟,0.6875
过桥米线是哪个省的风味小吃：,云南。过桥米线是云南滇南地区特有的汉族小吃，属滇菜系。,0.80859375
周朝约存在了多少年?,康熙。历史执政最久的皇帝是康熙皇帝,0.7109375
我国古代贯通南北交通的主动脉京杭大运河始建于,隋朝。隋朝的大运河是为了加强南北交流巩固对全国的统治而开凿的而元朝的则是为了运货方便开通后粮食可直接达到大都京杭大运河的开通意义：京杭大运河是我国古代劳动人民创造的一项伟大工程，是祖先留给我们的珍贵物质和精神财富，是活着的、流动...,0.80859375
《简爱》的男主人公是:,林黛玉。.《红楼梦》中葬花指的是谁?林黛玉,0.69921875
世界上哪个大洲热带雨林面积最大:,南美洲。亚马逊河位于南美洲北部，是世界上流域面积最广，流量最大的河流,0.76953125
欧洲著名的百年战争发生在哪两个国家,意大利。14-15世纪欧洲最早出现资本主义萌芽的国家是意大利,0.6640625
我国第一套邮票“大龙票”共有几枚？,三枚。中国第一套邮票，即“大龙”邮票当时大龙邮票发行量共约100万套，由于时代久远，收藏市场中对于该邮票不同种类、不同版本价值判断说法非常多，例如，在嘉德2008春季拍卖会中，大龙邮票三枚全，中上品以5376元价格成交,0.75
非典型性肺炎是由什么病毒引起的？,hiv。艾滋病的病原体是人类免疫缺陷病毒，hiv来自非洲中西部，从灵长类动物传到人类,0.703125
智利球星萨拉斯出生在哪一年？,阿根廷。梅西的国籍：阿根廷，身高：170cm体重：68kg出生日期：1987年6月24日2004至今效力巴塞罗那队,0.67578125
第一次乘坐飞船进入太空的是前苏联哪一位航天员？,杨利伟。杨利伟是神舟五号唯一的宇航员，是第一位进入太空的中国人,0.8125
朱德的称号,圣祖。康熙的庙号是圣祖,0.6640625
潍坊最大的水库是什么水库,济南。泉城（济南市别称）一般指济南,0.67578125
华谊兄弟上市代码,300027。属于创业板块公司全称：华谊兄弟传媒股份有限公司股票简称：华谊兄弟证券代码：300027交易市场：创业板总股本：16800万股发行总量：4200万股所属行业：广播电影电视业上市时间：2009年10月30日（首批创业板上市股票）公司地点：北京...,0.66015625
清朝哪个皇帝号玉痴,康熙。历史执政最久的皇帝是康熙皇帝,0.8046875
美国最高军事统帅是谁？,上将。3星上将中华人民共和国中央军事委员会副主席中华人民共和国中央军事委员会副主席是仅次于中华人民共和国中央军事委员会主席的中华人民共和国中央军事委员会的最高领导职务,0.66796875
猛兽侠哪国制作,韩国。陈学冬现在正在韩国拍摄电影《拆婚联盟》,0.66015625
五月天的<<倔强>>这首歌的歌词是谁写的?,刘若英。《一辈子的孤单》原唱刘若英,0.7734375
射雕英雄传中第18代丐帮帮主是谁？,妙手书生。朱聪是《射雕英雄传》里的人物，大侠郭靖的师父，外号妙手书生，武功为“分筋错骨手”，乃“江南七怪”老二，武功仅次于柯镇恶。,0.76953125
欧弟本名叫什么?,王岳伦。李湘现在的老公是著名导演王岳伦,0.6875
克什米尔地区现在由印度和哪个国家分别控制?,巴基斯坦。克什米尔本来是英属印度殖民地的一部分，1946年，英国把印度殖民地分成了印度和巴基斯坦两块，让他们分别独立，当时英国分殖民地有两个原则，一个是居民公决原则，即当地居民愿意加入哪个国家就加入哪个国家,0.734375
在希腊神话中，天神领袖是谁？,哈迪斯。哈迪斯只是古希腊神华中的冥界之神,0.73046875
在第二十三届奥运会上，中国运动员打破了在奥运会上零的记录，您知道这届奥运会上中国获得了_________枚金牌吗？,15。在1984年于洛杉矶举行的第二十三届奥运会，是中国第一次全面参加的夏季奥运会，中国运动员在本届奥运会上共获得15块金牌，名列金牌总数第四名，其中射击运动运许海峰获得的冠军取得中国奥运历史金牌零的突破,0.859375
"周星驰电影《功夫》中,卖棒棒糖的哑女是由哪位女星扮演的?",黄圣依。女主角卖棒棒糖的是黄圣依2004年，正好是周星驰为《功夫》选女主角，黄圣依在数千人中脱颖而出，签约周星驰旗下星辉公司，出演《功夫》中“哑女”一角，以及主唱《功夫》的主题曲《只要为你活一天》，黄圣依被授予“星爷新宠”的称号,0.7734375
"梁山首领,外号""及时雨""的谁?",史进。梁山一百单八将中第一个出场的人物及其绰号是:（九纹龙史进）,0.78125
树袋熊一般是哪个国家的,郁金香。荷兰的国花是：郁金香,0.69921875
中国工农红军长征的最后一座山是,六盘山。六盘山.1935年10月，红军翻越了长征途中最后一座山——六盘山,0.81640625
中国开国元勋哪个是广东人,冯巩。冯国璋是中国著名笑星冯巩的曾祖父。,0.6796875
梁栋江在中国好声音唱的那首歌叫什么,张碧晨。推荐答案2014年中国好声音冠军是张碧晨,0.73828125
蒙牛的创始人是谁？,圣祖。康熙的庙号是圣祖,0.64453125
情定三生里面的向天是谁演的呢？,孙佳奇。武媚娘传奇萧蔷的扮演是孙佳奇,0.76953125
电灯是谁创造出来的？,莱特兄弟。世界上公认的第一架实用飞机的发明者是美国的什么人？莱特兄弟,0.68359375
地球上最大的生态系统是？,太平洋。最大的是太平洋，最小的是北冰洋,0.7421875
肯德基的创始人是什么军衔？,圣祖。康熙的庙号是圣祖,0.61328125
有个豹子标准的车是什么，引擎盖前段有个立着的豹子,法拉利。法拉利车的标志是一匹跃起的马宝马法拉利车的标志是一匹跃起的马,0.6875
世界上羽翼最大的鸟是那种鸟?,"鸵鸟。现在世界上最大的鸟：鸵鸟,分布于非洲和阿拉伯半岛的部分地区",0.71484375
小说《少年维特之烦恼》是德国哪位作家的作品?,亚历山大·小仲马。《茶花女》是法国著名作家亚历山大·小仲马的代表作。,0.73046875
赞比亚的首都是？,科伦坡。推荐答案斯里兰卡的首都是科伦坡,0.6875
周星驰和刘嘉玲演的电影叫什么名字,梁朝伟。刘嘉玲的老公是梁朝伟丫~！,0.7734375
汽水中含有的一种酸,二氧化碳。这是由于汽水中含有一种叫二氧化碳的气体而造成的,0.77734375
著名诗歌《假如生活欺骗了你》的作者是：,普希金。俄罗斯诗人普希金的诗歌《假如生活欺骗了你》的相关概况,0.8671875
毛遂自荐的主人公是谁,孙佳奇。武媚娘传奇萧蔷的扮演是孙佳奇,0.6796875
由约翰尼·德普、薇诺娜·瑞德主演的电影《剪刀手爱德华》的导演是谁?,蒂姆·波顿。剪刀手爱德华导演：蒂姆·波顿主演：约翰尼·德普薇诺娜·瑞德看点：johnnydepp经典童话timburton北美电影蒂姆伯顿地区：美国年代：1990片长：105分钟·简介爱德华是一个机器人，他拥有人的心智，却有一双剪刀手，孤独地生活在古堡里...,0.80859375
生产明亮的蓝紫色火焰。有刺激性的气体是什么物质,"硫。硫在氧气中燃烧，现象为:有明亮蓝紫色火焰,且放出大量热,生成一种无色有刺激性气味的气体(二氧化硫)",0.77734375
中国那一年解放的。采纳,庚寅年。2010年是庚寅年,0.69921875
“先天下之忧而忧，后天下之乐而乐”出自谁的作品？,"范仲淹。“先天下之忧而忧,后天下之乐而乐”这句脍灸人口的名句,出自宋代文学家范仲淹的《岳阳楼记》.它的意思是：应当在天下人忧愁之前先忧愁,在天下人都享乐之后才享乐.用现在的话说,就是吃苦在前,享乐在后.这两句话闪耀着理想的光辉,跳动着民族的脉搏,...",0.73046875
上海世博中国馆命名什么？,上海。021是上海的电话区号,0.68359375
小苹果谁唱的？,刘若英。《一辈子的孤单》原唱刘若英,0.72265625
著名的啤酒品牌喜力创始于哪个欧洲国家?,"荷兰。世界十大啤酒品牌榜中榜20071百威budweiser(世界上最大的啤酒酿造商,1876年美国)2嘉士伯carlsberg(世界前七大啤酒集团,1847年丹麦)3贝克beck`s(德国第一名啤酒品牌,16世纪的德国不来梅古城)4喜力heineken(又名海尼根,荷兰啤酒,1...",0.70703125
我国人口最多的省份,山西。山西省煤矿分布最多,0.79296875
"在网络用语中,与""潜水""意思相对,乱发行为叫做?","同学。童鞋是网络流行语“同学”的谐音，今年来比较风靡的网络音译词语,和它类似的还有""筒子们""意思为""同志们""",0.78515625
在正方形中，相邻的两条边的位置关系是什么,"垂直。在长方形中,相邻的两条边的位置关系是(互相垂直)因为长方形每一个内角都是直角，所以填互相垂直望采纳，若不懂，请追问",0.80078125
周星驰和莫文蔚演的鬼片叫什么？,回魂夜。回魂夜周星驰演抓鬼的，用朵花来探鬼，那个暴牙特搞笑开头一段挺恐怖的，后来就全是搞笑了结尾是周星驰死了，莫文蔚进了疯人院,0.7578125
哪个国号称骑在羊背上的国家?,澳大利亚。而且澳大利亚羊的数量在世界上也是其他国家所难以企及的，有“骑在羊背上的国家”之称,0.73828125
明朝时波斯指哪里？,朝鲜。推荐答案韩国人口中的北韩指的就是北朝鲜,0.68359375
朱熹是什么朝代的?,圣祖。康熙的庙号是圣祖,0.68359375
历史上的第一大太监是谁！,康熙。历史执政最久的皇帝是康熙皇帝,0.76171875
民事诉讼仲裁机关是什么,中国人民银行。中央银行：“中国人民银行”是我国的中央银行。,0.69921875
、苏有朋主演的《倚天屠龙记》中的周芷若是由哪位内地女艺人主演?,刘亦菲。2003年刘亦菲被制片人张纪中选中，出演2003年央视版《天龙八部》并饰演王语嫣，刘亦菲饰演的王语嫣一角，被冠以“神仙姐姐”的称号。,0.7890625
小萝卜头是谁？,卓琳。邓小平的老婆就是卓琳啊，请问还想问什么呢,0.66796875
中央第三代领导集体核心是什么,江泽民。1989年，经过中国共产党十三届四中全会和五中全会，中共中央完成了以邓小平为核心的第二代中央领导集体向以江泽民为核心的第三代中央领导集体的交替,0.7265625
代表作品有《喜欢寂寞》《小情歌》《无与伦比的美丽》的是哪一个台湾乐团?,苏打绿。吴青峰是苏打绿乐团的主唱，他门出过的专辑基本都是吴青峰作词作曲，其他团员也有少数作品，音乐很有风格，都还不错，代表作《小情歌》、《无与伦比的美丽》、《你在烦恼什么》、《左边》等等，吴青峰也给其他歌手写歌，比如张惠妹的《掉了》、...,0.76953125
孙楠演唱的《ibelieve》是哪部韩国影片的中文版主题歌?,牧羊曲。李连杰版的《少林寺》的主题曲是《牧羊曲》,0.79296875
武则天出家在哪个寺庙,感业寺。1、武则天出家于感业寺,0.81640625
美国自由神像的赠送者是哪个国家？,法国。自由女神像是法国在1876年赠送给美国的独立100周年礼物，位于美国纽约市哈德逊河口附近,0.7421875
传说中酒的发明者是谁？,杜康。传说，发明酒的人，名叫杜康,0.796875
古代哪个皇帝活的时间最长？求学霸指点。,康熙。历史执政最久的皇帝是康熙皇帝,0.8046875
爱情公寓3大结局的插曲是什么？,爱的回归线。推荐答案爱的回归线热播电视剧《爱情公寓3》中的插曲，目前尚未发布,0.8046875
从百草园到三叶书屋的作者是谁,鲁迅。《从百草园到三味书屋》是鲁迅于1926年写的一篇童年妙趣生活的回忆性散文，此文被收入《朝花夕拾》,0.80078125
汉高祖是谁?,刘邦。推荐答案汉高祖即刘邦,0.80859375
罗飞鱼叫什么名字,儒艮。美人鱼的学名是儒艮,0.71875
福建漳浦县属于那个市管,漳州。地址=====福建省漳州市漳浦县邮政编码=====363200,0.765625
"98年世界杯智利队""双萨组合""一个是萨拉斯,另一个是?","萨莫拉诺。“双萨组合”萨拉斯和萨莫拉诺的出色发挥小组出线,打进16强(随后在1/8决赛中1比...球稍稍占优,其中双方在1962年世界杯小组赛中有过交手,不过那场比赛智利队3-1...",0.78515625
021是哪个城市电话区号,上海。021是上海的电话区号,0.8515625
题林西壁作者是谁,吴承恩。西游记的作者是吴承恩,0.6796875
"我们常说,狗咬哪位神仙,不识好人心?",吕洞宾。俗语说：“狗咬吕洞宾，不识好人心。,0.79296875
伊斯兰教不吃什么,猪肉。伊斯兰教徒最忌讳的是猪肉等猪制品,0.72265625
请问，爱情公寓里唐悠悠是谁演得？叫什么名字？,孙佳奇。武媚娘传奇萧蔷的扮演是孙佳奇,0.765625
浙江温岭是属于哪个市,台州。属于浙江省台州市下属的县级市温岭市,0.859375
"为了庆祝丰收而举行的""那达慕""大会是哪个少数民族的传统节日?",蒙古族。“那达慕”大会是蒙古族历史悠久的传统节日，在蒙古族人民物质生活中占有重要地位。,0.81640625
南美洲最狭长的国家是哪个?,智利。世界上领土最狭长的国家是智利,0.88671875
世界人口日是什麼时候？,7月11日。每年的7月11日为世界人口日（worldpopulationday）,0.703125
尊称对方的父亲叫什么？,父亲。令尊是称呼对方父亲的敬词。,0.84375
卡地亚手表是哪个地方出产,"瑞士。瑞士品牌瑞士名表欧米茄在全球130个国家,透过优秀的经销商所出售的手表",0.6640625
黑啤.香肠.咸猪手是哪个欧洲国家的特色美食?,德国。第一站：法国招牌美食：梳乎厘、龙脷卷第二站：德国招牌美食：咸猪手第三站：西班牙招牌美食：海鲜饭第四站：意大利招牌美食：帕尔玛火腿、米兰杏仁鲈鱼柳第五站：地中海招牌美食：烤鱼第六站：挪威招牌美食：烟熏三文鱼-----------...,0.67578125
"世界四大文明古都之一,古称""长安""的是我国哪个城市?",西安。西安古称“长安”“京兆”，是举世闻名的世界四大文明古都之一，居中国古都之首，是中国历史上建都时间最长、建都朝代最多、影响力最大的都城，是中华民族的摇篮、中华文明的发祥地、中华文化的代表,0.78515625
dior是什么牌子,广东省。珠海属于广东省,0.63671875
在我国哪个城市需要预先摇号才能获得购买小轿车并且上牌的资格?,北京。就是买车的人太多了，为了治理拥堵，需要抽签决定谁的车能落户，抽签的形式就叫摇号上牌，目前北京试行，估计成功了会往其他城市推广车辆上牌需通过摇号，个人买车每月可摇号一次，单位买车每两月可摇号一次，流程为提出摇号申请，获取申请码，...,0.79296875
全球最大的连锁超市叫什么?,沃尔玛。球最大的连锁超市吗？全球大型连锁超市排名no.1美国沃尔玛（wal-martstores），在500强中排名第1，年营业额2465.25亿美元，雇员124.4万人；no.2法国家乐福（carrefour），排名29，营业额649.78亿美元，33万人；no.3...,0.6796875
世界杯历史上第一次通过互射点球的方式决出冠军的比赛是巴西对哪支球队?,意大利。世界杯第一场通过点球大战决出的冠军是1994年美国世界杯（第十五届世界杯）当时的交战双方是意大利和巴西双方在90分钟0比0战平加时赛后依旧没有进球比赛只有进入点球大战了这也是世界杯历史上冠军第一次由点球大战来决出最终巴西点球战胜...,0.88671875
"古龙笔下盖世无双的""古龙三公子""分别是李寻欢、楚留香和谁?",铁中棠。古龙三公子是古龙武侠小说中三个盖世无双的名人，分别是铁中棠、楚留香和李寻欢。,0.91796875
鲁迅是哪儿的人啊,浙江。鲁迅出身于浙江绍兴的一个封建官僚家庭,0.73828125
分手大师片尾曲是什么,山谷里的回声。《分手大师》片尾曲《山谷里的回声》,0.74609375
华山在哪里？,湖南。岳阳（湖南省辖市）,0.6796875
杨幂的老公叫什么名字,姚笛。文章出轨的对象是姚笛,0.72265625
湖南邵阳适合养什么羊,波尔山羊。湖南适合饲养波尔山羊，优点抵抗能力强适应能力强生长速度快,0.73046875
电视剧《家有儿女》中张一山饰演的角色是?,刘星。角色介绍刘星是尚敬导演的情景喜剧《家有儿女》中的人物，由张一山饰演。,0.8359375
深圳市是哪个省的？？？,广东省。珠海属于广东省,0.80078125
康熙皇帝的庙号是？,圣祖。康熙的庙号是圣祖,0.88671875
世界上第一个实现工业化的国家,英国。英国是世界上最早开始工业化和城市化的国家,0.84765625
我国最早的兵法是什么,诗经。我国最早的诗歌总集是《诗经》。,0.7421875
暹罗是哪个国家的旧称?,泰国。5、暹罗国泰国（thailand）的旧称，位于东南亚中南半岛中部。,0.82421875
打油诗创始人是谁,诗经。我国最早的诗歌总集是《诗经》。,0.6875
"《三国演义》中,三气周瑜的是哪位谋士?",反间计。三国时期吴国的军事领袖，反间计使曹操杀死张允，又用苦肉计让曹操相信黄盖诈降,0.75390625
现在我国邮政的专用颜色是什么?,绿色。新中国成立后，在第一次全国邮政会议上，与会者一致认为，绿色象征着和平、青春、茂盛和繁荣，便决定采用绿色作为我国邮政标志专用颜色。,0.62109375
"电视剧《爱情公寓》中泼辣的""胡一菲""是由哪位女演员饰演的?",北京爱情故事。2012年，佟丽娅在爱情剧《北京爱情故事》中饰演了女主角“沈冰”。,0.78125
"比喻某人的行为固执,听不进不同意见,是说""不撞什么不回头""?","南墙。2.不撞南墙不回头——我国的建筑物大门一般都是朝南开的,旧时代有地位,有...比喻某人的行为固执,听不进不同意见",0.79296875
谁第一个统制了中国?,秦始皇。在中国历史上，秦始皇创建了皇帝制度，自己成为第一个皇帝，称“始皇帝”,0.73828125
《燕尾蝶》是哪位马来西亚女歌手的代表作专辑?,蔡依林。代表作：《看我七十二变》《舞娘》《myself》等专辑介绍亚洲天后蔡依林最新同名概念专辑《myself》一波三折。,0.75390625
玉龙山在我国的哪个省？,乌鲁木齐。乌鲁木齐是我国离海洋最远的省府城市,0.7109375
“打开一切科学的钥匙是问号”，这句话是谁说的？,培根。17世纪英国的弗兰西斯·培根认为是世界上最早提出“知识就是力量”的人,0.70703125
“自由女神像”是哪个国家送给美国的礼物？,法国。自由女神像是法国在1876年赠送给美国的独立100周年礼物，位于美国纽约市哈德逊河口附近,0.78125
燕京八景是谁题写的?,圣祖。康熙的庙号是圣祖,0.69921875
中国最长的河流,长江。江表泛指长江以南地区,0.7421875
哥特式建筑风格发源于:,哥特式。巴黎圣母院是典型的哥特式建筑代表作,0.83203125
臭氧呈什么颜色：,黑。四氧化三铁是黑色的,0.7265625
一休的真正身份是：,青山刚昌。名侦探柯南的作者是：青山刚昌（goshoaoyama）,0.67578125
大力水手最爱的菠菜富含哪种金属元素?,维生素a。缺乏维生素a会引起夜盲症,0.67578125
我国夏季“早穿皮袄晚穿纱，抱着火炉吃西瓜”的地区是,新疆。答案c“早穿皮袄午穿纱，围着火炉吃西瓜．”这句谚语反映了我国新疆的某些地区夏季昼夜气温变化显著，我国新疆某些地区都是沙漠或沙石，没有水，沙石的比热容远远小于水的比热容，所以沙石吸收同样多的热量温度升高的快，故中午温度很高；同样，...,0.71484375
卷入第二次世界大战的人口有多少亿：,20亿。战争的相关信息1939—1945年，德国、意大利、日本法西斯国家发动了一场人类历史上空前规模的第二次世界大战，先后有61个国家和地区、20亿以上的人口被卷入战争，军民死亡1亿零221万余人，最...,0.75
弱冠指的是,苏。江苏省简称为“苏”,0.65234375
美国哪一处曾经有淘金热？,加州。由于早年的淘金热，加州有一个别名叫做金州...,0.7578125
天池是中国和哪个国家的界湖？,朝鲜。中国最深的湖泊——长白山天池，坐落在吉林省东南部，是中国和朝鲜的界湖，湖的北部在吉林省境内，是松花江之源,0.7265625
豆浆中加入什么会制成豆腐：,石膏。第一类是电解质，例如净水用的明矾或硫酸铝，制豆腐时用到的石膏或氯化镁，使橡胶乳胶汁聚沉成胶片的醋酸等,0.6328125
世情小说描写日常生活的世态人情。我国第一部长篇世情小说是？,金瓶梅。《金瓶梅词话》是第一部以普通市民为主人公，以市井细民的日常生活为主要内容的长篇不说，是中国小说史上第一部由文人独力创作的长篇小说，是一部“描摹世态，见其炎凉”的世情书,0.80859375
文艺复兴运动发源于：,但丁。文艺复兴开始于意大利，诗人但丁是文艺复兴的先驱,0.79296875
我国古代以“诗话”命名的第一部诗话出现在哪个朝代,"北宋。推荐答案是《六一诗话》,作者:北宋时期的欧阳修，是我国最早的诗话，开创了后代诗歌理论著作的新体裁",0.82421875
鲁迅的第一篇白话小说是：,狂人日记。鲁迅在1918年5月，首次以“鲁迅”作笔名，发表了中国文学史上第一篇白话小说《狂人日记》,0.7890625
"寓言故事""刻舟求剑""讲的是春秋战国时期哪个诸侯国人的故事?",战国。战国阳春白雪的典故来自《楚辞》中的《宋玉答楚王问》一文,0.75
土耳其的首都是?,科伦坡。推荐答案斯里兰卡的首都是科伦坡,0.65234375
三国中“鬼才”指得是谁？,许褚。abb.被称为中医“医圣”的人是下列哪一位？张仲景b.被称为“万园之园”的我国古体园林是？圆明园cc.曹军中有一位被称为：“虎痴”的猛将，请问此人是谁？许褚c.曹魏五子良将中的徐晃，字什么？公明c.曹魏五子良将中的张郃，字什么？儁乂c...,0.74609375
中国四大佛教名山分别是安徽九华山、山西五台山、浙江普陀山和四川什么山?,峨眉山。中国佛教五大名山为：山西五台山、浙江普陀山、四川峨眉山、安徽九华山，贵州梵净山。,0.91796875
谁知道劳尔的妻子叫什么名字啊?,卓琳。邓小平的老婆就是卓琳啊，请问还想问什么呢,0.76953125
封神榜（陈浩明版）莲花扮演者是谁？,孙佳奇。武媚娘传奇萧蔷的扮演是孙佳奇,0.8046875
新加坡的宪法明定什么语为新加坡的国语?,马来语。基于和马来西亚的历史渊源，《新加坡宪法》明定马来语为新加坡的国语，主要是尊重当地原住民所使用的语言。,0.84765625
纵贯线是由罗大佑、李宗盛、张震岳和谁组成的?,周华健。2008年7月台湾歌手罗大佑、李宗盛、周华健、张震岳组成纵贯线乐团。,0.88671875
中国的第一位进入太空的航天员是?,杨利伟。杨利伟是神舟五号唯一的宇航员，是第一位进入太空的中国人,0.8515625
"金庸的""射雕三部曲""指的是《倚天屠龙记》、《射雕英雄传》和哪部作品?","第一部。1955年,金庸的第一部武侠小说《书剑恩仇录》诞生了",0.7890625
"浏览网页时,输入""www""的中文名称是什么?",英国。推荐答案你好1:uk指英国即unitedkingdom2:网银中的ukusbkeyusbkey是一种usb接口的硬件设备,0.66015625
被称为青莲居士的是我国唐代的哪位大诗人?,李白。李白“诗仙”一称的来历凡谈古诗，必称李白,0.75390625
"塑造了《武林外传》中""郭芙蓉'这一经典形象的大陆当红女演员是?",姚晨。“郭芙蓉”“猪八戒”转型《武林外传》让姚晨的郭芙蓉形象深入人心，这次她和宁财神是二度合作。,0.83203125
